date,types,rate,number,year,type,group
2020-02-10,spend_all_inchigh,0,0%,"Feb 10, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-11,spend_all_inchigh,-1,-1%,"Feb 11, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-12,spend_all_inchigh,-0,0%,"Feb 12, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-13,spend_all_inchigh,1,1%,"Feb 13, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-14,spend_all_inchigh,1,1%,"Feb 14, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-15,spend_all_inchigh,-0,0%,"Feb 15, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-16,spend_all_inchigh,-0,0%,"Feb 16, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-17,spend_all_inchigh,1,1%,"Feb 17, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-18,spend_all_inchigh,2,2%,"Feb 18, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-19,spend_all_inchigh,2,2%,"Feb 19, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-20,spend_all_inchigh,1,1%,"Feb 20, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-21,spend_all_inchigh,1,1%,"Feb 21, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-22,spend_all_inchigh,1,1%,"Feb 22, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-23,spend_all_inchigh,1,1%,"Feb 23, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-24,spend_all_inchigh,1,1%,"Feb 24, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-25,spend_all_inchigh,-1,-1%,"Feb 25, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-26,spend_all_inchigh,-1,-1%,"Feb 26, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-27,spend_all_inchigh,-0,0%,"Feb 27, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-28,spend_all_inchigh,-1,-1%,"Feb 28, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-29,spend_all_inchigh,0,0%,"Feb 29, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-01,spend_all_inchigh,-2,-2%,"Mar 01, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-02,spend_all_inchigh,0,0%,"Mar 02, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-03,spend_all_inchigh,1,1%,"Mar 03, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-04,spend_all_inchigh,1,1%,"Mar 04, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-05,spend_all_inchigh,1,1%,"Mar 05, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-06,spend_all_inchigh,1,1%,"Mar 06, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-07,spend_all_inchigh,2,2%,"Mar 07, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-08,spend_all_inchigh,3,3%,"Mar 08, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-09,spend_all_inchigh,1,1%,"Mar 09, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-10,spend_all_inchigh,0,0%,"Mar 10, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-11,spend_all_inchigh,1,1%,"Mar 11, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-12,spend_all_inchigh,2,2%,"Mar 12, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-13,spend_all_inchigh,3,3%,"Mar 13, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-14,spend_all_inchigh,1,1%,"Mar 14, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-15,spend_all_inchigh,-2,-2%,"Mar 15, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-16,spend_all_inchigh,-2,-2%,"Mar 16, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-17,spend_all_inchigh,-3,-3%,"Mar 17, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-18,spend_all_inchigh,-5,-5%,"Mar 18, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-19,spend_all_inchigh,-8,-8%,"Mar 19, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-20,spend_all_inchigh,-12,-12%,"Mar 20, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-21,spend_all_inchigh,-15,-15%,"Mar 21, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-22,spend_all_inchigh,-17,-17%,"Mar 22, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-23,spend_all_inchigh,-20,-20%,"Mar 23, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-24,spend_all_inchigh,-22,-22%,"Mar 24, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-25,spend_all_inchigh,-26,-26%,"Mar 25, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-26,spend_all_inchigh,-28,-28%,"Mar 26, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-27,spend_all_inchigh,-30,-30%,"Mar 27, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-28,spend_all_inchigh,-32,-32%,"Mar 28, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-29,spend_all_inchigh,-34,-34%,"Mar 29, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-30,spend_all_inchigh,-35,-35%,"Mar 30, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-03-31,spend_all_inchigh,-36,-36%,"Mar 31, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-01,spend_all_inchigh,-35,-35%,"Apr 01, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-02,spend_all_inchigh,-34,-34%,"Apr 02, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-03,spend_all_inchigh,-34,-34%,"Apr 03, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-04,spend_all_inchigh,-33,-33%,"Apr 04, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-05,spend_all_inchigh,-33,-33%,"Apr 05, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-06,spend_all_inchigh,-32,-32%,"Apr 06, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-07,spend_all_inchigh,-32,-32%,"Apr 07, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-08,spend_all_inchigh,-33,-33%,"Apr 08, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-09,spend_all_inchigh,-33,-33%,"Apr 09, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-10,spend_all_inchigh,-33,-33%,"Apr 10, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-11,spend_all_inchigh,-33,-33%,"Apr 11, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-12,spend_all_inchigh,-35,-35%,"Apr 12, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-13,spend_all_inchigh,-34,-34%,"Apr 13, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-14,spend_all_inchigh,-34,-34%,"Apr 14, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-15,spend_all_inchigh,-33,-33%,"Apr 15, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-16,spend_all_inchigh,-33,-33%,"Apr 16, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-17,spend_all_inchigh,-32,-32%,"Apr 17, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-18,spend_all_inchigh,-32,-32%,"Apr 18, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-19,spend_all_inchigh,-29,-29%,"Apr 19, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-20,spend_all_inchigh,-29,-29%,"Apr 20, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-21,spend_all_inchigh,-27,-27%,"Apr 21, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-22,spend_all_inchigh,-27,-27%,"Apr 22, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-23,spend_all_inchigh,-26,-26%,"Apr 23, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-24,spend_all_inchigh,-26,-26%,"Apr 24, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-25,spend_all_inchigh,-26,-26%,"Apr 25, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-26,spend_all_inchigh,-26,-26%,"Apr 26, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-27,spend_all_inchigh,-26,-26%,"Apr 27, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-28,spend_all_inchigh,-28,-28%,"Apr 28, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-29,spend_all_inchigh,-27,-27%,"Apr 29, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-04-30,spend_all_inchigh,-27,-27%,"Apr 30, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-01,spend_all_inchigh,-26,-26%,"May 01, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-02,spend_all_inchigh,-25,-25%,"May 02, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-03,spend_all_inchigh,-24,-24%,"May 03, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-04,spend_all_inchigh,-23,-23%,"May 04, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-05,spend_all_inchigh,-22,-22%,"May 05, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-06,spend_all_inchigh,-21,-21%,"May 06, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-07,spend_all_inchigh,-19,-19%,"May 07, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-08,spend_all_inchigh,-18,-18%,"May 08, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-09,spend_all_inchigh,-17,-17%,"May 09, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-10,spend_all_inchigh,-17,-17%,"May 10, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-11,spend_all_inchigh,-18,-18%,"May 11, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-12,spend_all_inchigh,-19,-19%,"May 12, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-13,spend_all_inchigh,-18,-18%,"May 13, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-14,spend_all_inchigh,-19,-19%,"May 14, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-15,spend_all_inchigh,-19,-19%,"May 15, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-16,spend_all_inchigh,-20,-20%,"May 16, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-17,spend_all_inchigh,-19,-19%,"May 17, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-18,spend_all_inchigh,-17,-17%,"May 18, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-19,spend_all_inchigh,-17,-17%,"May 19, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-20,spend_all_inchigh,-16,-16%,"May 20, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-21,spend_all_inchigh,-16,-16%,"May 21, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-22,spend_all_inchigh,-15,-15%,"May 22, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-23,spend_all_inchigh,-15,-15%,"May 23, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-24,spend_all_inchigh,-15,-15%,"May 24, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-25,spend_all_inchigh,-17,-17%,"May 25, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-26,spend_all_inchigh,-16,-16%,"May 26, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-27,spend_all_inchigh,-17,-17%,"May 27, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-28,spend_all_inchigh,-17,-17%,"May 28, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-29,spend_all_inchigh,-17,-17%,"May 29, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-30,spend_all_inchigh,-17,-17%,"May 30, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-05-31,spend_all_inchigh,-18,-18%,"May 31, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-01,spend_all_inchigh,-15,-15%,"Jun 01, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-02,spend_all_inchigh,-14,-14%,"Jun 02, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-03,spend_all_inchigh,-14,-14%,"Jun 03, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-04,spend_all_inchigh,-13,-13%,"Jun 04, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-05,spend_all_inchigh,-13,-13%,"Jun 05, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-06,spend_all_inchigh,-12,-12%,"Jun 06, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-07,spend_all_inchigh,-10,-10%,"Jun 07, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-08,spend_all_inchigh,-11,-11%,"Jun 08, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-09,spend_all_inchigh,-12,-12%,"Jun 09, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-10,spend_all_inchigh,-12,-12%,"Jun 10, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-11,spend_all_inchigh,-12,-12%,"Jun 11, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-12,spend_all_inchigh,-12,-12%,"Jun 12, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-13,spend_all_inchigh,-12,-12%,"Jun 13, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-14,spend_all_inchigh,-12,-12%,"Jun 14, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-15,spend_all_inchigh,-13,-13%,"Jun 15, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-16,spend_all_inchigh,-12,-12%,"Jun 16, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-17,spend_all_inchigh,-11,-11%,"Jun 17, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-18,spend_all_inchigh,-10,-10%,"Jun 18, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-19,spend_all_inchigh,-10,-10%,"Jun 19, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-20,spend_all_inchigh,-9,-9%,"Jun 20, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-21,spend_all_inchigh,-9,-9%,"Jun 21, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-22,spend_all_inchigh,-9,-9%,"Jun 22, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-23,spend_all_inchigh,-11,-11%,"Jun 23, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-24,spend_all_inchigh,-12,-12%,"Jun 24, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-25,spend_all_inchigh,-14,-14%,"Jun 25, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-26,spend_all_inchigh,-15,-15%,"Jun 26, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-27,spend_all_inchigh,-16,-16%,"Jun 27, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-28,spend_all_inchigh,-17,-17%,"Jun 28, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-29,spend_all_inchigh,-17,-17%,"Jun 29, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-06-30,spend_all_inchigh,-16,-16%,"Jun 30, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-01,spend_all_inchigh,-15,-15%,"Jul 01, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-02,spend_all_inchigh,-14,-14%,"Jul 02, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-03,spend_all_inchigh,-14,-14%,"Jul 03, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-04,spend_all_inchigh,-13,-13%,"Jul 04, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-05,spend_all_inchigh,-13,-13%,"Jul 05, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-06,spend_all_inchigh,-12,-12%,"Jul 06, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-07,spend_all_inchigh,-12,-12%,"Jul 07, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-08,spend_all_inchigh,-12,-12%,"Jul 08, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-09,spend_all_inchigh,-12,-12%,"Jul 09, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-10,spend_all_inchigh,-12,-12%,"Jul 10, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-11,spend_all_inchigh,-11,-11%,"Jul 11, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-12,spend_all_inchigh,-11,-11%,"Jul 12, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-13,spend_all_inchigh,-11,-11%,"Jul 13, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-14,spend_all_inchigh,-11,-11%,"Jul 14, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-15,spend_all_inchigh,-11,-11%,"Jul 15, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-16,spend_all_inchigh,-10,-10%,"Jul 16, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-17,spend_all_inchigh,-10,-10%,"Jul 17, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-18,spend_all_inchigh,-10,-10%,"Jul 18, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-19,spend_all_inchigh,-10,-10%,"Jul 19, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-20,spend_all_inchigh,-10,-10%,"Jul 20, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-21,spend_all_inchigh,-10,-10%,"Jul 21, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-22,spend_all_inchigh,-10,-10%,"Jul 22, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-23,spend_all_inchigh,-10,-10%,"Jul 23, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-24,spend_all_inchigh,-9,-9%,"Jul 24, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-25,spend_all_inchigh,-9,-9%,"Jul 25, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-26,spend_all_inchigh,-9,-9%,"Jul 26, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-27,spend_all_inchigh,-9,-9%,"Jul 27, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-28,spend_all_inchigh,-9,-9%,"Jul 28, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-29,spend_all_inchigh,-9,-9%,"Jul 29, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-30,spend_all_inchigh,-9,-9%,"Jul 30, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-07-31,spend_all_inchigh,-10,-10%,"Jul 31, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-01,spend_all_inchigh,-10,-10%,"Aug 01, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-02,spend_all_inchigh,-10,-10%,"Aug 02, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-03,spend_all_inchigh,-9,-9%,"Aug 03, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-04,spend_all_inchigh,-8,-8%,"Aug 04, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-05,spend_all_inchigh,-7,-7%,"Aug 05, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-06,spend_all_inchigh,-6,-6%,"Aug 06, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-07,spend_all_inchigh,-5,-5%,"Aug 07, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-08,spend_all_inchigh,-4,-4%,"Aug 08, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-09,spend_all_inchigh,-4,-4%,"Aug 09, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-10,spend_all_inchigh,-4,-4%,"Aug 10, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-11,spend_all_inchigh,-4,-4%,"Aug 11, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-12,spend_all_inchigh,-4,-4%,"Aug 12, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-13,spend_all_inchigh,-4,-4%,"Aug 13, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-14,spend_all_inchigh,-4,-4%,"Aug 14, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-15,spend_all_inchigh,-4,-4%,"Aug 15, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-16,spend_all_inchigh,-4,-4%,"Aug 16, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-17,spend_all_inchigh,-4,-4%,"Aug 17, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-18,spend_all_inchigh,-3,-3%,"Aug 18, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-19,spend_all_inchigh,-3,-3%,"Aug 19, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-20,spend_all_inchigh,-2,-2%,"Aug 20, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-21,spend_all_inchigh,-2,-2%,"Aug 21, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-22,spend_all_inchigh,-1,-1%,"Aug 22, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-23,spend_all_inchigh,-0,0%,"Aug 23, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-24,spend_all_inchigh,-1,-1%,"Aug 24, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-25,spend_all_inchigh,-2,-2%,"Aug 25, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-26,spend_all_inchigh,-3,-3%,"Aug 26, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-27,spend_all_inchigh,-4,-4%,"Aug 27, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-28,spend_all_inchigh,-5,-5%,"Aug 28, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-29,spend_all_inchigh,-6,-6%,"Aug 29, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-08-30,spend_all_inchigh,-6,-6%,"Aug 30, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-13,spend_all_inclow,0,0%,"Jan 13, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-14,spend_all_inclow,1,1%,"Jan 14, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-15,spend_all_inclow,1,1%,"Jan 15, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-16,spend_all_inclow,1,1%,"Jan 16, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-17,spend_all_inclow,2,2%,"Jan 17, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-18,spend_all_inclow,2,2%,"Jan 18, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-19,spend_all_inclow,2,2%,"Jan 19, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-20,spend_all_inclow,2,2%,"Jan 20, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-21,spend_all_inclow,2,2%,"Jan 21, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-22,spend_all_inclow,2,2%,"Jan 22, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-23,spend_all_inclow,1,1%,"Jan 23, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-24,spend_all_inclow,1,1%,"Jan 24, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-25,spend_all_inclow,1,1%,"Jan 25, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-26,spend_all_inclow,1,1%,"Jan 26, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-27,spend_all_inclow,1,1%,"Jan 27, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-28,spend_all_inclow,0,0%,"Jan 28, 2020",Low Income ZIP Codes,Consumer ZIP Code
2020-01-29,spend_all_inclow,-0,0%,"Jan 29, 2020",Low Income ZIP Codes,Consumer ZIP Code
